# Yale Bright Star Catalogue 5 - converted by bsc5_converter.py
# RA_deg, Dec_deg, Vmag, BV
16.804583,-23.996389,6.370,0.230
17.138750,58.263611,5.790,-0.010
17.005417,32.012222,6.250,0.400
16.988333,20.739167,5.550,0.130
16.942500,-9.785556,5.820,0.430
17.092500,5.649722,5.520,0.340
16.949583,-41.486944,5.210,0.160
16.827917,-61.775278,5.370,0.880
18.069583,79.673889,5.640,0.010
17.147500,-10.182222,3.450,1.160
17.375833,47.241944,4.250,-0.070
17.663750,68.778611,5.290,-0.020
17.432917,35.620556,2.060,1.580
17.096250,-55.245833,3.920,-0.080
17.455000,19.658611,5.550,0.690
17.578333,42.081389,5.650,0.600
17.580833,25.457778,5.800,1.470
17.856667,64.202778,5.550,-0.070
17.775833,55.149722,4.330,0.170
17.547917,15.674167,6.060,1.490
17.922500,65.018889,5.570,-0.090
17.550000,-8.906111,6.400,1.040
17.640000,2.445556,5.950,1.510
17.792917,37.724167,5.810,-0.100
17.778333,31.424722,5.160,0.230
17.530833,-57.694444,6.410,0.890
17.863333,21.034722,4.660,1.030
17.915000,30.089722,4.510,1.090
17.931250,-2.251111,5.940,1.400
18.291250,61.705833,6.410,0.010
18.141667,45.337778,6.110,1.640
18.247917,30.064167,6.190,1.000
19.127917,79.910000,6.260,0.420
18.097500,-30.802222,6.520,0.480
18.189167,-37.856389,5.920,0.280
18.437083,24.583611,4.650,1.040
18.432917,7.575278,5.240,0.320
18.438750,7.578333,6.300,0.490
18.520833,28.529722,6.430,1.700
18.531667,16.133611,5.980,-0.080
19.050417,71.743889,7.830,0.780
18.600000,-7.923056,5.130,0.460
18.676667,6.995278,6.030,1.080
18.705000,-0.973889,5.700,0.420
19.102083,48.082222,6.610,-0.050
18.796250,-45.531389,4.960,0.580
19.078333,33.114722,6.020,1.150
19.271250,44.901944,6.340,0.000
19.151250,-2.500278,5.410,0.900
19.350417,31.744722,6.730,0.000
20.081250,77.570556,6.310,0.920
19.542500,47.419722,6.250,1.350
